,time,output
0,-3.141592653589793,-1.0
1,-3.1353094682826135,-0.9999802608561371
2,-3.129026282975434,-0.9999210442038161
3,-3.122743097668254,-0.999822352380809
4,-3.1164599123610746,-0.9996841892832999
5,-3.1101767270538954,-0.9995065603657316
6,-3.1038935417467157,-0.9992894726405892
7,-3.097610356439536,-0.9990329346781247
8,-3.0913271711323564,-0.9987369566060175
9,-3.085043985825177,-0.998401550108975
10,-3.078760800517997,-0.9980267284282716
11,-3.0724776152108175,-0.9976125063612252
12,-3.066194429903638,-0.9971589002606139
13,-3.0599112445964587,-0.9966659280340299
14,-3.053628059289279,-0.9961336091431725
15,-3.0473448739820994,-0.99556196460308
16,-3.0410616886749198,-0.9949510169813002
17,-3.03477850336774,-0.9943007903969989
18,-3.0284953180605605,-0.9936113105200084
19,-3.022212132753381,-0.9928826045698136
20,-3.015928947446201,-0.9921147013144778
21,-3.009645762139022,-0.9913076310695066
22,-3.0033625768318424,-0.9904614256966512
23,-2.9970793915246627,-0.9895761186026509
24,-2.990796206217483,-0.988651744737914
25,-2.9845130209103035,-0.9876883405951377
26,-2.978229835603124,-0.986685944207868
27,-2.971946650295944,-0.985644595148998
28,-2.9656634649887645,-0.9845643345292053
29,-2.959380279681585,-0.9834452049953296
30,-2.9530970943744057,-0.9822872507286887
31,-2.946813909067226,-0.9810905174433341
32,-2.9405307237600464,-0.9798550523842469
33,-2.934247538452867,-0.9785809043254721
34,-2.927964353145687,-0.9772681235681935
35,-2.9216811678385075,-0.9759167619387473
36,-2.915397982531328,-0.9745268727865771
37,-2.9091147972241482,-0.9730985109821265
38,-2.902831611916969,-0.971631732914674
39,-2.8965484266097894,-0.9701265964901058
40,-2.8902652413026098,-0.9685831611286311
41,-2.88398205599543,-0.967001487762435
42,-2.8776988706882505,-0.9653816388332739
43,-2.871415685381071,-0.9637236782900097
44,-2.865132500073891,-0.9620276715860858
45,-2.8588493147667116,-0.960293685676943
46,-2.8525661294595324,-0.958521789017376
47,-2.8462829441523527,-0.9567120515588305
48,-2.839999758845173,-0.954864544746643
49,-2.8337165735379934,-0.9529793415172187
50,-2.827433388230814,-0.9510565162951535
51,-2.821150202923634,-0.9490961449902945
52,-2.8148670176164545,-0.9470983049947442
53,-2.808583832309275,-0.9450630751798047
54,-2.8023006470020952,-0.9429905358928644
55,-2.796017461694916,-0.9408807689542255
56,-2.7897342763877364,-0.9387338576538741
57,-2.7834510910805568,-0.9365498867481923
58,-2.777167905773377,-0.934328942456612
59,-2.7708847204661975,-0.932071112458211
60,-2.764601535159018,-0.9297764858882513
61,-2.758318349851838,-0.9274451533346613
62,-2.752035164544659,-0.925077206834458
63,-2.745751979237479,-0.9226727398701147
64,-2.7394687939302997,-0.9202318473658704
65,-2.73318560862312,-0.9177546256839811
66,-2.7269024233159405,-0.9152411726209175
67,-2.720619238008761,-0.9126915874035028
68,-2.714336052701581,-0.9101059706849957
69,-2.7080528673944015,-0.9074844245411169
70,-2.701769682087222,-0.9048270524660194
71,-2.6954864967800427,-0.9021339593682028
72,-2.689203311472863,-0.8994052515663711
73,-2.6829201261656834,-0.8966410367852359
74,-2.676636940858504,-0.8938414241512638
75,-2.670353755551324,-0.8910065241883678
76,-2.6640705702441445,-0.8881364488135445
77,-2.657787384936965,-0.8852313113324551
78,-2.6515041996297852,-0.8822912264349532
79,-2.6452210143226056,-0.8793163101905561
80,-2.6389378290154264,-0.8763066800438636
81,-2.6326546437082468,-0.8732624548099202
82,-2.626371458401067,-0.8701837546695257
83,-2.6200882730938875,-0.86707070116449
84,-2.613805087786708,-0.8639234171928353
85,-2.607521902479528,-0.8607420270039435
86,-2.6012387171723486,-0.8575266561936521
87,-2.5949555318651694,-0.8542774316992953
88,-2.5886723465579897,-0.850994481794692
89,-2.58238916125081,-0.8476779360850832
90,-2.5761059759436304,-0.8443279255020151
91,-2.569822790636451,-0.840944582298169
92,-2.563539605329271,-0.8375280400421417
93,-2.5572564200220915,-0.8340784336131711
94,-2.550973234714912,-0.8305958991958126
95,-2.5446900494077322,-0.8270805742745616
96,-2.538406864100553,-0.8235325976284275
97,-2.5321236787933734,-0.8199521093254524
98,-2.5258404934861938,-0.8163392507171839
99,-2.519557308179014,-0.812694164433094
100,-2.5132741228718345,-0.8090169943749473
101,-2.506990937564655,-0.8053078857111219
102,-2.500707752257475,-0.8015669848708764
103,-2.494424566950296,-0.7977944395385711
104,-2.488141381643116,-0.7939903986478352
105,-2.4818581963359367,-0.7901550123756904
106,-2.475575011028757,-0.7862884321366189
107,-2.4692918257215775,-0.7823908105765881
108,-2.463008640414398,-0.7784623015670233
109,-2.456725455107218,-0.7745030601987337
110,-2.4504422698000385,-0.7705132427757891
111,-2.444159084492859,-0.7664930068093497
112,-2.4378758991856797,-0.762442511011448
113,-2.4315927138784996,-0.7583619152887217
114,-2.4253095285713204,-0.7542513807361039
115,-2.419026343264141,-0.7501110696304595
116,-2.412743157956961,-0.7459411454241821
117,-2.4064599726497815,-0.7417417727387392
118,-2.400176787342602,-0.7375131173581738
119,-2.3938936020354222,-0.7332553462225598
120,-2.3876104167282426,-0.7289686274214113
121,-2.3813272314210634,-0.7246531301870467
122,-2.3750440461138833,-0.7203090248879066
123,-2.368760860806704,-0.7159364830218312
124,-2.3624776754995245,-0.7115356772092853
125,-2.356194490192345,-0.7071067811865475
126,-2.349911304885165,-0.7026499697988491
127,-2.3436281195779856,-0.6981654189934725
128,-2.337344934270806,-0.6936533058128047
129,-2.3310617489636263,-0.6891138083873483
130,-2.324778563656447,-0.6845471059286887
131,-2.318495378349267,-0.6799533787224189
132,-2.312212193042088,-0.6753328081210244
133,-2.305929007734908,-0.67068557653672
134,-2.2996458224277285,-0.6660118674342516
135,-2.293362637120549,-0.6613118653236517
136,-2.2870794518133692,-0.6565857557529563
137,-2.2807962665061896,-0.6518337253008786
138,-2.27451308119901,-0.647055961569444
139,-2.2682298958918308,-0.6422526531765844
140,-2.261946710584651,-0.6374239897486897
141,-2.2556635252774715,-0.6325701619131244
142,-2.249380339970292,-0.6276913612907004
143,-2.243097154663112,-0.6227877804881123
144,-2.2368139693559326,-0.6178596130903342
145,-2.230530784048753,-0.6129070536529763
146,-2.2242475987415737,-0.6079302976946055
147,-2.2179644134343937,-0.6029295416890245
148,-2.2116812281272145,-0.5979049830575189
149,-2.205398042820035,-0.5928568201610592
